,Rk_g_y1,Player,Age_g_y1,Team_g_y1,Pos_g_y1,G_g_y1,GS_g_y1,MP_g_y1,FG_y1,FGA_y1,FG%_y1,3P_y1,3PA_y1,3P%_y1,2P_y1,2PA_y1,2P%_y1,eFG%_y1,FT_y1,FTA_y1,FT%_y1,ORB_y1,DRB_y1,TRB_y1,AST_y1,STL_y1,BLK_y1,TOV_y1,PF_y1,PTS_y1,Season_y1,Age_a_y1,MP_a_y1,PER_y1,TS%_y1,3PAr_y1,FTr_y1,ORB%_y1,DRB%_y1,TRB%_y1,AST%_y1,STL%_y1,BLK%_y1,TOV%_y1,USG%_y1,OWS_y1,DWS_y1,WS_y1,WS/48_y1,OBPM_y1,DBPM_y1,BPM_y1,VORP_y1,FG_p_y1,FGA_p_y1,FG%_p_y1,3P_p_y1,3PA_p_y1,3P%_p_y1,2P_p_y1,2PA_p_y1,2P%_p_y1,eFG%_p_y1,FT_p_y1,FTA_p_y1,FT%_p_y1,ORB_p_y1,DRB_p_y1,TRB_p_y1,AST_p_y1,STL_p_y1,BLK_p_y1,TOV_p_y1,PF_p_y1,PTS_p_y1,ORtg_y1,DRtg_y1,AS_After_Year_Two,Images,team,logo,team_abbr
10,303.0,Ben Saraf,19.0,BRK,SG,44.0,11.0,20.8,2.7,6.9,0.396,0.4,2.0,0.211,2.3,4.8,0.474,0.427,1.7,2.0,0.83,0.5,1.6,2.1,3.3,0.9,0.2,2.3,1.8,7.5,2026,19.0,916.0,7.8,0.486,0.297,0.29,2.4,9.7,5.8,24.5,2.1,0.8,22.5,21.0,-1.6,0.5,-1.1,-0.057,-5.6,-1.7,-7.3,-1.2,6.5,16.4,0.396,1.0,4.9,0.211,5.5,11.5,0.474,0.427,3.9,4.8,0.83,1.1,3.9,5.0,7.8,2.1,0.4,5.3,4.4,17.9,92.0,120.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642879.png,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,BRK
11,545.0,Brooks Barnhizer,23.0,OKC,SG,40.0,0.0,8.7,0.7,1.8,0.38,0.2,0.6,0.292,0.5,1.2,0.426,0.43,0.2,0.3,0.7,0.5,1.5,2.0,0.6,0.3,0.1,0.3,0.7,1.7,2026,23.0,348.0,7.9,0.451,0.338,0.141,6.2,17.7,12.2,7.8,1.5,1.4,11.7,10.6,-0.1,0.6,0.6,0.082,-4.1,1.0,-3.1,-0.1,3.8,9.9,0.38,1.0,3.3,0.292,2.8,6.5,0.426,0.43,1.0,1.4,0.7,2.6,8.2,10.8,3.1,1.5,0.7,1.4,3.8,9.4,104.0,108.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642964.png,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,OKC
12,489.0,CJ Huntley,24.0,PHO,SF,4.0,0.0,10.0,1.5,2.8,0.545,0.0,0.8,0.0,1.5,2.0,0.75,0.545,0.0,0.0,0.0,0.5,0.8,1.3,0.5,0.3,0.0,0.0,0.5,3.0,2026,24.0,40.0,10.9,0.545,0.273,0.0,5.4,8.6,6.9,7.1,1.2,0.0,0.0,11.7,0.1,0.0,0.1,0.099,-3.9,-0.5,-4.4,0.0,7.4,13.6,0.545,0.0,3.7,0.0,7.4,9.9,0.75,0.545,0.0,0.0,0.0,2.5,3.7,6.2,2.5,1.2,0.0,0.0,2.5,14.8,128.0,118.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1643047.png,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,PHO
13,200.0,Caleb Love,24.0,POR,SG,49.0,1.0,20.7,3.9,10.0,0.388,1.9,6.0,0.318,2.0,4.0,0.49,0.483,0.7,1.0,0.735,0.5,1.8,2.3,2.5,0.6,0.1,1.3,1.0,10.4,2026,24.0,1013.0,10.7,0.497,0.596,0.1,2.6,9.7,6.1,18.4,1.3,0.4,10.8,23.0,-0.1,0.8,0.6,0.031,-1.5,-1.6,-3.1,-0.3,9.0,23.1,0.388,4.4,13.8,0.318,4.6,9.3,0.49,0.483,1.7,2.3,0.735,1.2,4.2,5.4,5.8,1.3,0.2,2.9,2.3,24.0,106.0,118.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631126.png,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,POR
14,443.0,Carter Bryant,20.0,SAS,PF,71.0,0.0,11.5,1.5,3.7,0.408,0.7,2.2,0.335,0.8,1.5,0.509,0.506,0.4,0.6,0.714,0.5,2.0,2.5,0.7,0.2,0.3,0.5,1.3,4.2,2026,20.0,818.0,9.9,0.526,0.585,0.158,5.1,17.9,11.7,7.5,0.9,2.5,10.4,16.3,0.1,1.2,1.3,0.076,-3.1,0.2,-3.0,-0.2,6.3,15.6,0.408,3.1,9.1,0.335,3.3,6.5,0.509,0.506,1.8,2.5,0.714,2.2,8.2,10.5,2.8,0.9,1.4,1.9,5.5,17.5,108.0,112.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642868.png,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,SAS
15,127.0,Cedric Coward,22.0,MEM,SG,62.0,47.0,25.8,4.9,10.5,0.471,1.5,4.4,0.338,3.4,6.0,0.568,0.542,2.3,2.7,0.843,1.3,4.5,5.9,2.8,0.6,0.4,1.7,2.0,13.6,2026,22.0,1598.0,15.3,0.585,0.424,0.256,5.5,19.4,12.3,16.0,1.2,1.6,12.7,21.5,1.4,1.1,2.5,0.076,0.4,-0.6,-0.2,0.7,9.0,19.2,0.471,2.8,8.2,0.338,6.3,11.1,0.568,0.542,4.2,4.9,0.843,2.5,8.3,10.8,5.1,1.2,0.8,3.1,3.7,25.0,114.0,119.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642907.png,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,MEM
16,516.0,Chaz Lanier,24.0,DET,SG,34.0,0.0,7.7,0.8,2.6,0.315,0.6,2.0,0.284,0.3,0.6,0.409,0.421,0.1,0.2,0.833,0.2,0.4,0.7,0.5,0.2,0.0,0.1,0.4,2.4,2026,24.0,262.0,6.6,0.436,0.753,0.067,3.5,6.3,4.9,8.2,1.3,0.0,3.2,15.0,0.0,0.3,0.3,0.046,-3.8,-1.3,-5.1,-0.2,5.2,16.4,0.315,3.5,12.4,0.284,1.7,4.1,0.409,0.421,0.9,1.1,0.833,1.5,2.8,4.2,3.1,1.3,0.0,0.6,2.2,14.8,106.0,116.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642404.png,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,DET
17,574.0,Chris Mañon,24.0,LAL,SG,9.0,0.0,5.1,0.2,0.7,0.333,0.0,0.3,0.0,0.2,0.3,0.667,0.333,0.3,0.4,0.75,0.2,0.9,1.1,0.3,0.6,0.2,0.1,0.7,0.8,2026,24.0,46.0,11.7,0.451,0.5,0.667,5.3,19.7,12.7,7.8,5.3,4.0,11.4,8.3,0.0,0.1,0.1,0.115,-4.6,4.7,0.1,0.0,2.1,6.4,0.333,0.0,3.2,0.0,2.1,3.2,0.667,0.333,3.2,4.2,0.75,2.1,8.5,10.6,3.2,5.3,2.1,1.1,6.4,7.4,111.0,106.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1643024.png,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,LAL
18,528.0,Chris Youngblood,23.0,2TM,SG,34.0,0.0,5.4,0.6,1.9,0.349,0.5,1.6,0.333,0.1,0.3,0.444,0.492,0.3,0.3,0.9,0.2,0.6,0.8,0.4,0.1,0.1,0.1,0.6,2.1,2026,23.0,185.0,10.4,0.527,0.857,0.159,4.3,11.8,8.2,8.5,1.0,1.6,2.9,16.2,0.2,0.3,0.5,0.117,-2.2,-0.1,-2.3,0.0,5.7,16.5,0.349,4.7,14.1,0.333,1.0,2.4,0.444,0.492,2.4,2.6,0.9,1.8,5.5,7.3,3.1,1.0,0.8,0.5,5.7,18.5,117.0,112.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642959.png,,,
19,582.0,Chucky Hepburn,22.0,TOR,PG,2.0,0.0,6.5,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,2026,22.0,13.0,-13.5,0.0,0.833,0.0,0.0,8.8,4.4,17.4,3.8,0.0,14.3,23.1,-0.1,0.0,-0.1,-0.441,-20.7,-3.1,-23.8,-0.1,0.0,22.5,0.0,0.0,18.8,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,7.5,3.8,0.0,3.8,7.5,0.0,20.0,111.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642935.png,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,TOR
