,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Allen Iverson,32,DEN,SG,82,82,3424,10.0,21.9,.458,1.3,3.9,.345,8.7,18.0,.482,.488,9.1,11.2,.809,0.7,2.8,3.4,8.2,2.2,0.2,3.4,1.5,30.4,115,109,AS
1,2,Joe Johnson,26,ATL,SG,82,82,3343,10.2,23.6,.432,2.7,7.0,.381,7.5,16.6,.454,.489,5.0,6.0,.834,1.3,4.5,5.8,7.5,1.3,0.3,3.5,2.6,28.1,109,112,AS
2,3,Andre Iguodala,24,PHI,SF,82,82,3242,9.5,20.9,.456,1.7,5.0,.329,7.9,15.9,.496,.495,6.0,8.3,.721,1.4,5.9,7.3,6.4,2.8,0.8,3.5,3.1,26.7,110,105,
3,4,Richard Jefferson,27,NJN,SF,82,82,3200,10.2,21.8,.466,1.3,3.5,.362,8.9,18.3,.486,.495,8.9,11.1,.798,1.5,4.1,5.6,4.1,1.2,0.3,3.3,3.7,30.5,112,112,
4,5,Baron Davis,28,GSW,PG,82,82,3196,9.9,23.2,.426,2.6,8.0,.330,7.2,15.2,.477,.483,4.8,6.4,.750,1.5,4.4,5.8,9.5,2.9,0.7,3.5,3.8,27.2,111,109,
5,6,Kobe Bryant,29,LAL,SG,82,82,3192,12.2,26.6,.459,2.4,6.5,.361,9.8,20.1,.490,.503,9.8,11.7,.840,1.5,6.7,8.1,6.9,2.4,0.6,4.0,3.6,36.5,115,105,"MVP-1,DPOY-5,AS,NBA1,DEF1"
6,7,Jamal Crawford,27,NYK,SG,80,80,3190,9.4,22.8,.410,2.9,8.1,.356,6.5,14.7,.439,.473,5.4,6.3,.864,0.6,2.8,3.4,6.5,1.3,0.3,3.2,2.4,27.0,109,115,
7,8,Jason Richardson,27,CHA,SF,82,82,3149,10.8,24.4,.441,4.0,9.9,.406,6.7,14.4,.466,.524,4.1,5.5,.752,1.3,6.0,7.3,4.3,1.9,0.9,2.8,4.0,29.7,109,109,
8,9,Dwight Howard,22,ORL,C,82,82,3088,9.7,16.2,.599,0.0,0.1,.000,9.7,16.1,.601,.599,8.8,14.9,.590,4.6,14.7,19.3,1.8,1.2,2.9,4.4,4.6,28.2,113,99,"MVP-5,DPOY-7,AS,NBA1,DEF2"
9,10,Rashard Lewis,28,ORL,PF,81,81,3076,8.6,19.0,.455,3.8,9.2,.409,4.8,9.7,.498,.554,3.6,4.3,.838,1.6,5.7,7.3,3.3,1.7,0.6,2.3,3.6,24.7,115,106,
10,11,Monta Ellis,22,GSW,SG,81,72,3071,10.3,19.4,.531,0.2,0.8,.231,10.1,18.6,.545,.536,5.1,6.6,.767,2.1,4.3,6.4,5.0,2.0,0.4,2.7,3.1,25.9,117,111,
11,12,Antawn Jamison,31,WAS,PF,79,79,3061,10.8,24.8,.436,2.1,6.2,.339,8.7,18.6,.468,.478,5.8,7.7,.760,3.8,10.4,14.1,2.1,1.9,0.6,2.0,3.4,29.6,112,107,"MVP-14,AS"
12,13,Deron Williams,23,UTA,PG,82,82,3059,9.5,18.8,.507,1.4,3.5,.395,8.1,15.3,.533,.544,5.6,6.9,.803,0.6,3.5,4.1,14.5,1.5,0.4,4.7,3.4,26.0,118,110,"MVP-12,NBA2"
13,14,LeBron James,23,CLE,SF,75,74,3027,14.0,28.9,.484,2.0,6.3,.315,12.0,22.6,.531,.518,9.7,13.6,.712,2.3,8.1,10.4,9.5,2.4,1.4,4.5,2.9,39.6,116,104,"MVP-4,AS,NBA1"
14,15,Hedo Türkoğlu,28,ORL,SF,82,82,3026,9.4,20.7,.456,2.8,7.1,.400,6.6,13.7,.485,.524,5.5,6.6,.829,1.4,6.6,8.0,6.9,1.3,0.4,4.2,4.1,27.2,111,107,MIP-1
15,16,Andre Miller,31,PHI,PG,82,82,3016,10.0,20.3,.492,0.1,0.6,.088,10.0,19.7,.504,.494,4.5,5.9,.772,1.7,4.0,5.7,9.9,1.8,0.1,3.6,3.2,24.6,112,109,
16,17,Chris Paul,22,NOH,PG,80,80,3006,11.2,22.9,.488,1.6,4.4,.369,9.6,18.5,.516,.524,5.9,6.9,.851,1.1,4.6,5.7,16.4,3.9,0.1,3.6,3.3,29.9,125,103,"MVP-2,DPOY-7,AS,NBA1,DEF2"
17,18,Rudy Gay,21,MEM,SF,81,81,3000,10.5,22.7,.461,2.2,6.5,.346,8.2,16.2,.507,.511,4.2,5.3,.785,2.4,6.0,8.4,2.7,1.9,1.3,3.2,3.9,27.4,106,110,
18,19,Raymond Felton,23,CHA,PG,79,79,2972,7.2,17.5,.413,1.0,3.5,.280,6.3,14.0,.447,.441,4.6,5.7,.800,0.7,3.5,4.2,10.3,1.7,0.2,3.7,3.2,20.1,104,112,
19,20,Ricky Davis,28,MIA,SF,82,47,2963,7.5,17.4,.433,2.4,6.0,.405,5.1,11.5,.447,.502,2.8,3.5,.787,1.0,5.3,6.3,5.0,1.6,0.3,3.4,3.4,20.3,100,112,
20,21,Vince Carter,31,NJN,SG,76,72,2959,10.4,22.8,.456,1.7,4.8,.359,8.7,18.0,.482,.494,6.2,7.6,.816,2.0,6.0,8.0,6.9,1.6,0.6,3.2,4.3,28.8,111,110,
21,22,Mike Dunleavy,27,IND,SG,82,82,2953,8.9,18.6,.476,2.7,6.5,.424,6.1,12.1,.504,.550,5.6,6.7,.834,1.0,6.1,7.1,4.8,1.4,0.5,3.2,3.5,26.0,115,109,
22,23,Lamar Odom,28,LAL,PF,77,77,2921,7.2,13.7,.525,0.5,1.9,.274,6.6,11.7,.566,.544,3.9,5.6,.698,3.4,10.7,14.1,4.7,1.3,1.2,2.7,3.8,18.8,116,104,
23,24,Al Jefferson,23,MIN,C,82,82,2919,12.9,25.8,.500,0.0,0.1,.000,12.9,25.7,.502,.500,5.1,7.1,.721,5.5,10.8,16.3,2.1,1.3,2.1,3.0,4.0,30.9,109,108,
24,25,Shane Battier,29,HOU,SF,80,78,2907,4.8,11.3,.428,2.5,6.7,.377,2.3,4.6,.504,.540,1.4,1.8,.743,2.4,5.0,7.4,2.8,1.4,1.6,1.4,3.6,13.6,117,103,"DPOY-3,DEF2"
25,26,Jason Kidd,34,2TM,PG,80,80,2906,5.5,14.4,.385,2.2,5.7,.381,3.4,8.7,.387,.460,2.4,3.0,.818,1.7,9.2,10.9,14.6,2.5,0.5,4.8,3.0,15.7,104,105,AS
26,26,Jason Kidd,34,NJN,PG,51,51,1895,5.6,15.2,.366,2.3,6.5,.356,3.2,8.7,.374,.443,2.5,3.1,.820,1.6,9.8,11.4,14.7,2.0,0.4,5.1,2.5,16.0,101,107,
27,26,Jason Kidd,34,DAL,PG,29,29,1011,5.5,12.8,.426,1.8,4.0,.461,3.6,8.8,.411,.498,2.3,2.8,.815,1.9,8.0,9.9,14.5,3.3,0.6,4.3,3.9,15.1,113,102,
28,27,Danny Granger,24,IND,SF,80,80,2876,9.2,20.6,.446,2.9,7.2,.404,6.3,13.4,.468,.517,5.5,6.5,.852,1.6,6.7,8.3,2.8,1.6,1.4,2.9,5.0,26.8,110,107,
29,28,Paul Pierce,30,BOS,SF,80,80,2874,9.4,20.2,.464,2.6,6.7,.392,6.7,13.5,.499,.529,7.5,8.9,.843,1.0,6.6,7.5,6.7,1.9,0.7,4.1,3.7,28.8,115,100,"MVP-14,AS,NBA3"
30,29,Josh Smith,22,ATL,PF,81,81,2873,9.5,20.8,.457,0.5,1.8,.253,9.0,19.0,.477,.468,6.1,8.6,.710,3.0,9.3,12.2,5.0,2.3,4.2,4.5,4.9,25.6,102,103,DPOY-6
31,30,David West,27,NOH,PF,76,76,2870,11.7,24.3,.482,0.1,0.5,.240,11.6,23.8,.487,.484,5.6,6.6,.850,3.3,9.2,12.6,3.3,1.2,1.8,3.1,3.9,29.1,109,104,AS
32,31,Stephen Jackson,29,GSW,SF,73,73,2855,8.3,20.5,.405,3.1,8.5,.363,5.2,12.0,.435,.481,5.2,6.3,.832,1.1,4.3,5.4,5.1,1.6,0.5,3.4,2.9,24.9,107,112,
33,32,Carlos Boozer,26,UTA,PF,81,81,2827,12.9,23.6,.547,0.0,0.0,.000,12.9,23.6,.547,.547,5.3,7.2,.738,3.6,11.8,15.4,4.2,1.8,0.7,3.8,5.3,31.1,112,103,"MVP-14,AS,NBA3"
34,33,Carmelo Anthony,23,DEN,SF,77,77,2806,12.5,25.4,.492,1.0,2.8,.354,11.5,22.6,.509,.511,8.0,10.1,.786,3.1,6.7,9.8,4.4,1.7,0.7,4.3,4.3,33.9,109,107,"MVP-13,AS"
35,34,Brandon Roy,23,POR,SG,74,74,2792,10.4,22.9,.454,1.4,4.2,.340,9.0,18.7,.480,.485,5.5,7.3,.753,1.6,5.2,6.8,8.4,1.5,0.3,2.7,2.9,27.7,113,110,AS
36,35,Tyson Chandler,25,NOH,C,79,79,2783,7.2,11.6,.623,0.0,0.0,.000,7.2,11.6,.624,.623,3.4,5.7,.593,6.2,11.6,17.8,1.6,0.9,1.6,2.6,4.7,17.8,122,104,DPOY-11
