,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Andre Iguodala,25,PHI,SF,82,82,3269,8.8,18.7,.473,1.3,4.3,.307,7.5,14.5,.521,.507,6.2,8.5,.724,1.5,6.2,7.7,7.1,2.1,0.6,3.6,2.5,25.2,112,108,DPOY-13
1,2,Joe Johnson,27,ATL,SG,79,79,3124,10.6,24.3,.437,2.6,7.1,.360,8.1,17.2,.468,.489,5.1,6.2,.826,1.1,4.8,5.9,7.8,1.4,0.3,3.3,3.0,28.9,110,110,AS
2,3,O.J. Mayo,21,MEM,SG,82,82,3120,9.6,21.9,.438,2.5,6.5,.384,7.1,15.4,.461,.495,4.2,4.8,.879,1.0,4.3,5.3,4.5,1.6,0.2,3.9,3.5,25.9,103,112,ROY-2
3,4,Antawn Jamison,32,WAS,PF,81,81,3096,11.5,24.6,.468,1.9,5.4,.351,9.6,19.1,.501,.507,5.8,7.7,.754,3.3,8.9,12.3,2.6,1.6,0.4,2.1,3.7,30.7,114,113,
4,5,Raymond Felton,24,CHA,PG,82,81,3086,7.8,19.1,.408,1.0,3.6,.285,6.7,15.4,.437,.435,3.9,4.8,.805,1.0,4.5,5.5,9.7,2.2,0.5,4.0,3.4,20.5,101,107,
5,6,Tayshaun Prince,28,DET,SF,82,82,3057,8.3,18.5,.450,1.0,2.6,.397,7.3,15.9,.458,.477,3.4,4.4,.778,2.3,6.3,8.6,4.6,0.8,0.9,1.8,1.9,21.1,110,110,
6,7,LeBron James,24,CLE,SF,81,81,3054,14.0,28.6,.489,2.3,6.8,.344,11.6,21.8,.535,.530,10.5,13.5,.780,1.9,9.0,10.9,10.4,2.4,1.6,4.3,2.5,40.8,122,99,"MVP-1,DPOY-2,AS,NBA1,DEF1"
7,8,Dirk Nowitzki,30,DAL,PF,81,81,3050,13.3,27.8,.479,1.0,2.9,.359,12.3,24.9,.493,.498,8.3,9.4,.890,1.5,10.2,11.7,3.4,1.0,1.1,2.7,3.0,36.0,114,108,"MVP-10,AS,NBA1"
8,9,Dwyane Wade,27,MIA,SG,79,79,3048,15.0,30.5,.491,1.5,4.9,.317,13.4,25.6,.524,.516,10.3,13.5,.765,1.6,5.4,7.0,10.3,3.0,1.9,4.8,3.1,41.8,115,105,"MVP-3,DPOY-3,AS,NBA1,DEF2"
9,10,Paul Pierce,31,BOS,SF,81,81,3035,9.4,20.7,.457,2.1,5.3,.391,7.4,15.3,.480,.508,8.0,9.7,.830,1.0,7.0,8.0,5.1,1.4,0.5,4.0,3.8,29.0,112,104,"MVP-7,AS,NBA2"
