,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Michael Finley,26,DAL,SF,82,82,3464,10.9,23.9,.457,1.4,3.6,.401,9.5,20.3,.467,.487,3.8,4.6,.820,1.8,5.8,7.6,6.4,1.6,0.5,2.9,2.5,27.1,108,108,"MVP-13,AS"
1,2,Gary Payton,31,SEA,PG,82,82,3425,11.2,25.0,.448,2.7,7.8,.340,8.6,17.2,.497,.502,4.7,6.3,.735,1.5,6.4,7.9,11.0,2.3,0.3,3.4,2.7,29.8,114,104,"MVP-6,DPOY-5,AS,NBA1,DEF1"
2,3,Latrell Sprewell,29,NYK,SF,82,82,3276,9.3,21.4,.435,0.7,2.1,.346,8.6,19.4,.445,.452,5.7,6.5,.866,0.8,4.9,5.7,5.5,1.8,0.4,3.7,3.0,25.0,101,102,
3,4,Kevin Garnett,23,MIN,PF,81,81,3243,12.2,24.6,.497,0.5,1.3,.370,11.8,23.3,.504,.507,5.0,6.5,.765,3.6,11.8,15.4,6.5,1.9,2.0,4.3,3.3,29.9,107,99,"MVP-2,DPOY-7,AS,NBA1,DEF1"
4,5,Shareef Abdur-Rahim,23,VAN,SF,82,82,3223,9.7,20.9,.465,0.5,1.6,.302,9.3,19.3,.478,.477,7.3,9.0,.809,3.6,9.9,13.5,4.4,1.5,1.4,4.1,4.0,27.2,108,106,
5,6,Allan Houston,28,NYK,SG,82,82,3169,10.4,21.6,.483,1.8,4.1,.436,8.6,17.5,.494,.525,4.8,5.7,.838,0.6,4.0,4.6,3.8,1.1,0.2,3.2,3.7,27.4,108,105,AS
6,7,Shaquille O'Neal,27,LAL,C,79,79,3163,15.5,27.1,.574,0.0,0.0,.000,15.5,27.1,.575,.574,7.0,13.4,.524,5.5,12.1,17.5,4.9,0.6,3.9,3.6,4.1,38.1,115,95,"MVP-1,DPOY-2,AS,NBA1,DEF2"
7,8,Mike Bibby,21,VAN,PG,82,82,3155,7.7,17.2,.445,1.3,3.5,.363,6.4,13.7,.466,.483,3.3,4.2,.780,1.2,3.9,5.1,11.1,2.2,0.3,4.1,2.9,19.9,107,110,
8,9,Jerry Stackhouse,25,DET,SG,82,82,3148,9.9,23.1,.428,1.3,4.6,.288,8.5,18.5,.462,.456,9.9,12.1,.815,1.9,3.1,5.0,5.8,1.6,0.6,5.0,3.0,30.9,106,108,AS
9,10,Anthony Mason,33,CHH,SF,82,81,3133,5.2,10.8,.480,0.0,0.0,.000,5.2,10.8,.480,.480,5.1,6.9,.746,2.4,9.0,11.4,6.0,1.2,0.5,2.6,3.6,15.5,112,102,DPOY-8
10,11,Vince Carter,23,TOR,SF,82,82,3126,13.1,28.2,.465,1.6,3.9,.403,11.5,24.2,.475,.493,7.2,9.2,.791,2.5,5.4,7.9,5.3,1.8,1.5,3.0,4.4,35.0,112,105,"MVP-10,AS,NBA3"
11,12,Michael Dickerson,24,VAN,SG,82,82,3103,9.4,21.6,.436,2.0,4.9,.409,7.4,16.6,.444,.483,4.6,5.5,.830,1.3,3.4,4.7,3.5,2.0,0.8,2.8,3.8,25.4,107,110,
12,13,Ray Allen,24,MIL,SG,82,82,3070,10.8,23.8,.455,2.9,6.9,.423,7.9,16.9,.468,.516,6.0,6.7,.887,1.4,4.7,6.1,5.2,1.9,0.3,3.1,3.2,30.5,115,110,AS
13,14,Antoine Walker,23,BOS,PF,82,82,3003,11.0,25.4,.430,1.2,4.8,.256,9.7,20.6,.471,.455,5.3,7.5,.699,3.4,7.7,11.0,5.2,2.0,0.5,4.4,4.4,28.4,100,105,
14,15,Elton Brand,20,CHI,PF,81,80,2999,11.3,23.4,.482,0.0,0.0,.000,11.3,23.3,.483,.482,6.6,9.6,.685,6.2,8.3,14.5,2.8,1.2,2.4,4.1,4.6,29.1,104,103,ROY-1
15,16,Reggie Miller,34,IND,SG,81,81,2987,8.0,18.0,.448,2.8,7.0,.408,5.2,11.0,.473,.527,6.4,7.0,.919,0.9,3.3,4.1,3.2,1.5,0.4,2.2,2.2,25.4,118,107,"MVP-13,AS"
16,17,Dikembe Mutombo,33,ATL,C,82,82,2984,5.6,10.0,.562,0.0,0.0,,5.6,10.0,.562,.562,5.2,7.4,.708,5.3,15.0,20.3,1.8,0.5,4.7,3.1,4.3,16.5,116,101,"DPOY-3,AS"
17,18,Jalen Rose,27,IND,SF,80,80,2978,9.7,20.7,.471,1.3,3.4,.393,8.4,17.3,.486,.503,4.4,5.3,.827,0.7,6.0,6.7,5.5,1.5,0.8,3.3,4.1,25.2,106,105,"MVP-13,MIP-1"
18,19,Nick Van Exel,28,DEN,PG,79,79,2950,8.1,20.8,.390,2.3,6.9,.332,5.8,13.9,.419,.445,3.4,4.1,.817,0.6,4.8,5.3,12.3,1.2,0.2,3.8,2.5,21.9,104,109,
19,20,Karl Malone,36,UTA,PF,82,82,2947,13.7,26.8,.509,0.0,0.1,.250,13.6,26.7,.511,.510,10.7,13.4,.797,3.1,11.1,14.2,5.5,1.4,1.3,4.2,4.2,38.1,115,100,"MVP-4,AS,NBA2"
