,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Joe Johnson,22,PHO,SG,82,77,3331,8.6,20.1,.430,1.3,4.2,.305,7.3,15.9,.463,.462,2.7,3.6,.750,1.2,4.7,6.0,5.6,1.4,0.4,3.1,2.8,21.3,100,109,
1,2,Peja Stojaković,26,SAC,SF,81,81,3264,10.5,22.0,.480,3.8,8.8,.433,6.7,13.2,.511,.566,6.2,6.7,.927,1.4,6.6,8.1,2.7,1.7,0.2,2.4,2.5,31.1,120,106,"MVP-4,AS,NBA2"
2,3,Stephon Marbury,26,2TM,PG,81,81,3254,9.7,22.5,.431,1.4,4.4,.318,8.3,18.1,.460,.463,5.8,7.1,.817,0.9,3.3,4.3,11.7,2.1,0.1,4.0,2.8,26.6,108,107,
3,3,Stephon Marbury,26,PHO,PG,34,34,1415,9.6,22.2,.432,1.4,4.3,.314,8.2,17.9,.461,.463,5.4,6.8,.795,0.7,3.6,4.3,10.3,2.3,0.2,3.6,2.7,25.9,107,108,
4,3,Stephon Marbury,26,NYK,PG,47,47,1839,9.8,22.7,.431,1.5,4.5,.321,8.3,18.2,.458,.463,6.1,7.3,.833,1.1,3.1,4.3,12.8,1.9,0.1,4.4,2.9,27.1,109,107,
5,4,Kevin Garnett,27,MIN,PF,82,82,3231,13.4,26.9,.499,0.2,0.7,.256,13.2,26.2,.506,.502,6.1,7.8,.791,4.1,14.9,19.0,6.8,2.0,3.0,3.5,3.4,33.2,112,92,"MVP-1,DPOY-6,AS,NBA1,DEF1"
6,5,Cuttino Mobley,28,HOU,SG,80,80,3229,7.8,18.3,.426,2.8,7.1,.390,5.0,11.2,.448,.501,3.0,3.7,.811,0.7,5.5,6.1,4.4,1.8,0.6,3.0,3.0,21.3,103,101,
7,6,Shawn Marion,25,PHO,SF,79,79,3217,9.5,21.6,.440,1.4,4.3,.340,8.1,17.3,.465,.474,3.7,4.3,.851,3.4,8.5,11.9,3.4,2.7,1.7,2.5,3.3,24.1,107,102,
8,7,Steve Francis,26,HOU,PG,79,79,3194,7.7,19.1,.403,1.2,4.3,.292,6.5,14.8,.435,.436,5.8,7.4,.775,2.0,5.4,7.4,8.4,2.4,0.6,5.0,4.4,22.4,99,99,AS
9,8,Richard Jefferson,23,NJN,SF,82,82,3133,9.5,19.1,.498,0.8,2.3,.364,8.7,16.8,.516,.519,6.1,8.0,.763,1.9,6.1,7.9,5.4,1.6,0.5,3.4,3.8,26.0,110,100,
10,9,LeBron James,19,CLE,SG,79,79,3122,10.5,25.3,.417,1.1,3.7,.290,9.5,21.6,.438,.438,5.9,7.8,.754,1.7,5.6,7.3,7.9,2.2,1.0,4.6,2.5,28.0,99,104,"MVP-9,ROY-1"
11,10,Jim Jackson,33,HOU,SF,80,80,3119,6.7,15.8,.424,2.8,7.1,.400,3.9,8.7,.444,.514,1.9,2.2,.843,0.9,7.6,8.5,4.0,1.5,0.4,3.1,4.0,18.1,101,100,
12,11,Damon Stoudamire,30,POR,PG,82,82,3118,7.3,18.2,.401,2.8,7.6,.365,4.5,10.6,.426,.477,2.3,2.6,.876,0.9,4.6,5.5,8.9,1.8,0.2,3.2,3.1,19.6,107,108,
13,12,Latrell Sprewell,33,MIN,SF,82,82,3100,9.0,22.0,.409,1.7,5.2,.331,7.3,16.8,.433,.448,4.2,5.1,.814,1.0,4.4,5.4,5.0,1.5,0.4,2.7,1.8,23.9,100,103,
14,13,Paul Pierce,26,BOS,SG,80,80,3099,10.0,24.9,.402,1.9,6.4,.299,8.1,18.5,.438,.441,8.6,10.5,.819,1.1,7.5,8.7,6.8,2.2,0.9,5.0,3.9,30.5,101,103,AS
15,14,Zach Randolph,22,POR,PF,81,80,3067,12.0,24.8,.485,0.0,0.1,.200,12.0,24.7,.486,.485,5.4,7.1,.761,4.4,11.1,15.4,3.0,1.2,0.7,4.5,4.1,29.5,103,104,MIP-1
16,15,Ben Wallace,29,DET,C,81,81,3050,5.6,13.4,.421,0.0,0.1,.125,5.6,13.3,.424,.422,2.5,5.2,.490,5.8,12.2,18.0,2.5,2.6,4.4,2.2,2.9,13.8,98,87,"MVP-7,DPOY-2,AS,NBA2,DEF1"
