,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Glen Rice,29,CHH,SF,79,78,3362,11.6,24.4,.477,3.3,7.1,.470,8.3,17.3,.480,.546,7.5,8.6,.867,1.1,4.0,5.1,2.6,1.2,0.4,2.9,3.1,34.1,117,112,"MVP-5,AS,NBA2"
1,2,Latrell Sprewell,26,GSW,SG,80,79,3353,10.1,22.5,.449,2.3,6.5,.354,7.8,16.0,.488,.500,7.7,9.1,.843,0.9,4.8,5.7,7.9,2.1,0.7,5.0,2.4,30.2,111,113,AS
2,3,Juwan Howard,23,WSB,SF,82,82,3324,10.0,20.5,.486,0.0,0.0,.000,10.0,20.5,.487,.486,4.6,6.1,.756,3.2,7.0,10.2,4.9,1.5,0.4,3.8,4.0,24.5,105,106,
3,4,Damon Stoudamire,23,TOR,PG,81,81,3311,9.0,22.5,.401,2.8,7.9,.355,6.2,14.6,.426,.463,5.3,6.4,.823,1.4,3.9,5.3,11.3,2.0,0.2,4.6,2.6,26.2,109,111,
4,5,Gary Payton,28,SEA,PG,82,82,3213,11.7,24.5,.476,2.0,6.3,.313,9.7,18.2,.533,.517,4.2,5.9,.715,1.8,4.5,6.3,9.6,3.3,0.2,3.6,3.4,29.5,114,103,"MVP-6,DPOY-2,AS,NBA2,DEF1"
5,6,Kendall Gill,28,NJN,SF,82,81,3199,10.5,23.6,.443,1.2,3.6,.336,9.3,20.0,.462,.469,6.9,8.7,.797,3.0,5.1,8.1,5.3,2.5,0.7,3.5,3.7,29.1,112,109,
6,7,Chris Mills,27,CLE,SF,80,79,3167,7.4,16.3,.453,1.6,4.0,.391,5.8,12.3,.473,.501,3.2,3.8,.842,2.2,6.9,9.1,3.6,1.6,0.7,2.2,4.1,19.6,111,103,
7,8,Jerry Stackhouse,22,PHI,SG,81,81,3166,8.5,20.8,.407,1.6,5.4,.298,6.9,15.4,.446,.446,8.1,10.6,.766,2.5,2.9,5.4,4.0,1.5,1.0,5.0,3.5,26.7,102,115,
8,9,Vin Baker,25,MIL,PF,78,78,3159,10.7,21.2,.505,0.3,0.9,.278,10.5,20.3,.515,.511,6.1,8.8,.687,4.5,9.1,13.6,3.6,1.4,1.9,4.2,4.7,27.8,108,106,"AS,NBA3"
9,10,Grant Hill,24,DET,SF,80,80,3147,11.3,22.7,.496,0.2,0.6,.303,11.1,22.1,.502,.500,8.1,11.4,.711,2.2,10.8,13.0,10.5,2.6,0.9,4.7,3.4,30.9,114,100,"MVP-3,AS,NBA1"
10,11,Anthony Mason,30,CHH,PF,73,73,3143,7.5,14.2,.525,0.0,0.1,.333,7.4,14.2,.526,.525,5.5,7.4,.745,3.2,11.1,14.3,7.1,1.3,0.6,2.8,3.5,20.5,121,106,"MVP-9,NBA3,DEF2"
11,12,Christian Laettner,27,ATL,PF,82,82,3140,9.6,19.9,.486,0.5,1.5,.352,9.1,18.3,.497,.500,6.3,7.7,.816,3.7,8.9,12.7,3.9,1.8,1.1,3.8,4.9,26.2,112,101,AS
12,13,Tim Hardaway,30,MIA,PG,81,81,3136,10.0,24.0,.415,3.5,10.2,.344,6.5,13.8,.469,.489,5.0,6.3,.799,0.8,4.0,4.8,12.1,2.6,0.2,4.0,2.9,28.5,113,102,"MVP-4,AS,NBA1"
13,14,Tom Gugliotta,27,MIN,PF,81,81,3131,10.0,22.6,.442,0.4,1.6,.258,9.6,21.1,.456,.451,7.8,9.6,.820,3.2,8.7,11.9,5.7,2.2,1.5,5.0,4.0,28.3,103,104,"MVP-17,AS"
14,15,Doug Christie,26,TOR,SG,81,81,3127,6.7,16.1,.417,2.5,6.5,.384,4.2,9.6,.440,.495,4.0,5.2,.775,1.4,5.9,7.3,5.3,3.4,0.8,3.4,4.2,19.9,108,106,
15,16,Mitch Richmond,31,SAC,SG,81,81,3125,12.1,26.6,.454,3.4,8.0,.428,8.7,18.6,.466,.519,7.7,9.0,.861,1.0,4.4,5.4,5.7,2.0,0.4,4.0,3.6,35.3,115,110,"MVP-13,AS,NBA2"
16,17,Glenn Robinson,24,MIL,SF,80,79,3114,11.5,24.8,.465,1.1,3.1,.350,10.4,21.7,.482,.487,5.0,6.3,.791,2.2,6.4,8.6,4.3,1.8,1.2,4.6,3.9,29.1,102,108,
17,18,Michael Jordan,33,CHI,SG,82,82,3106,15.8,32.5,.486,1.9,5.1,.374,13.9,27.4,.507,.516,8.2,9.9,.833,1.9,6.3,8.3,6.0,2.4,0.8,2.9,2.7,41.8,121,102,"MVP-2,DPOY-5,AS,NBA1,DEF1"
18,19,Scottie Pippen,31,CHI,SF,82,82,3095,11.2,23.5,.474,2.7,7.3,.368,8.5,16.2,.522,.531,3.5,5.0,.701,2.8,6.4,9.2,8.0,2.7,0.8,3.7,3.7,28.5,115,101,"MVP-11,DPOY-4,AS,NBA2,DEF1"
19,20,Joe Smith,21,GSW,PF,80,80,3086,9.9,21.9,.454,0.2,0.8,.261,9.7,21.1,.461,.459,5.2,6.4,.814,4.4,7.1,11.5,2.1,1.3,1.5,3.2,4.1,25.3,105,112,
20,21,Kenny Anderson,26,POR,PG,82,81,3081,8.3,19.5,.427,2.3,6.3,.361,6.0,13.2,.458,.485,5.7,7.5,.768,1.6,4.7,6.2,10.0,2.8,0.3,3.3,3.8,24.6,117,104,
21,22,Clifford Robinson,30,POR,SF,81,79,3077,7.6,17.9,.426,2.1,6.0,.346,5.5,11.9,.466,.484,3.7,5.3,.696,1.5,4.0,5.5,4.5,1.7,1.1,3.0,4.3,21.0,106,105,
22,23,Mookie Blaylock,29,ATL,PG,78,78,3056,9.1,21.0,.432,4.0,10.9,.366,5.1,10.0,.505,.528,2.4,3.1,.753,2.1,5.4,7.5,8.4,3.8,0.4,3.3,2.6,24.5,115,100,"DPOY-3,DEF2"
23,24,Mark Jackson,31,2TM,PG,82,82,3054,5.0,11.7,.426,1.1,3.1,.371,3.8,8.6,.445,.474,2.9,3.7,.789,1.6,5.2,6.8,16.1,1.7,0.2,4.7,2.8,14.0,111,111,
24,24,Mark Jackson,31,DEN,PG,52,52,2001,5.0,11.7,.425,1.2,3.1,.397,3.7,8.6,.435,.478,2.8,3.5,.801,1.8,5.2,7.0,16.6,1.3,0.2,4.5,2.7,14.0,114,113,
25,24,Mark Jackson,31,IND,PG,30,30,1053,5.0,11.6,.427,0.9,2.9,.316,4.0,8.7,.465,.467,3.0,3.9,.766,1.0,5.3,6.4,15.1,2.4,0.2,5.2,2.9,13.9,105,105,
26,25,Allen Iverson,21,PHI,PG,76,74,3045,10.3,24.9,.416,2.6,7.5,.341,7.8,17.4,.448,.467,6.3,9.0,.702,1.9,3.3,5.2,9.4,2.6,0.4,5.6,3.9,29.6,104,112,"MVP-17,ROY-1"
27,26,Lindsey Hunter,26,DET,PG,82,76,3023,7.9,19.6,.404,3.1,8.8,.355,4.8,10.8,.444,.484,3.0,3.8,.778,1.1,3.3,4.4,2.9,2.4,0.5,1.8,3.9,21.9,107,106,
28,27,Kerry Kittles,22,NJN,SG,82,57,3012,8.7,20.5,.426,2.7,7.2,.377,6.0,13.3,.453,.493,3.0,3.9,.771,1.8,3.7,5.5,4.3,2.7,0.6,2.2,2.8,23.2,113,110,ROY-5
29,28,Karl Malone,33,UTA,PF,82,82,2998,15.4,27.9,.550,0.0,0.2,.000,15.4,27.7,.555,.550,9.3,12.3,.755,3.4,11.0,14.4,6.5,2.0,0.9,4.1,3.9,40.0,118,101,"MVP-1,AS,NBA1,DEF1"
30,29,Eddie Jones,25,LAL,SG,80,80,2998,8.3,19.0,.438,2.7,6.8,.391,5.6,12.2,.464,.508,4.8,5.9,.819,1.6,4.1,5.7,4.7,3.3,0.9,3.0,4.0,24.1,113,103,AS
31,30,Rod Strickland,30,WSB,PG,82,81,2997,8.9,19.2,.466,0.2,1.3,.169,8.7,17.8,.488,.472,6.4,8.6,.738,1.6,4.2,5.8,12.6,2.5,0.2,4.7,2.9,24.5,110,106,
32,31,Kevin Garnett,20,MIN,SF,77,77,2995,9.7,19.4,.499,0.1,0.4,.286,9.6,19.1,.503,.502,3.6,4.8,.754,3.4,7.6,10.9,4.2,1.9,2.9,3.1,3.5,23.1,107,105,AS
33,32,David Wesley,26,BOS,PG,74,73,2991,7.6,16.3,.468,1.7,4.8,.360,5.9,11.5,.513,.521,3.8,4.8,.781,1.1,3.3,4.4,9.0,2.7,0.2,3.5,3.7,20.8,112,112,
34,33,Dikembe Mutombo,30,ATL,C,80,80,2973,7.1,13.4,.527,0.0,0.0,,7.1,13.4,.527,.527,5.7,8.1,.705,5.0,12.3,17.3,2.0,0.9,4.9,3.5,4.6,19.8,113,97,"MVP-13,DPOY-1,AS,DEF1"
35,34,Antoine Walker,20,BOS,PF,82,68,2970,9.7,22.9,.425,0.9,2.7,.327,8.8,20.2,.438,.445,3.9,6.2,.631,4.9,7.6,12.5,4.4,1.8,0.9,3.9,4.6,24.2,98,111,ROY-4
36,35,Reggie Miller,31,IND,SG,81,81,2966,10.0,22.6,.444,4.2,9.7,.427,5.9,12.9,.456,.536,7.6,8.6,.880,1.0,4.2,5.2,5.0,1.4,0.5,3.0,3.1,31.8,121,108,
37,36,Clarence Weatherspoon,26,PHI,SF,82,82,2949,6.8,13.9,.491,0.0,0.1,.167,6.8,13.8,.493,.491,3.5,4.8,.738,3.7,7.9,11.6,2.4,1.3,1.5,2.3,3.2,17.1,111,111,
38,37,Dale Ellis,36,DEN,SF,82,51,2940,8.4,20.3,.414,3.4,9.3,.364,5.0,11.0,.457,.498,3.8,4.6,.817,1.7,3.4,5.2,2.9,1.1,0.1,2.6,3.1,24.0,107,115,
39,38,Nick Van Exel,25,LAL,PG,79,79,2937,7.7,19.3,.402,3.2,8.4,.378,4.6,10.9,.420,.484,3.0,3.6,.825,0.8,3.3,4.1,12.1,1.3,0.2,3.8,2.0,21.6,111,109,
40,39,Joe Dumars,33,DET,SG,79,79,2923,7.5,17.0,.440,3.2,7.5,.432,4.3,9.5,.446,.535,4.3,5.0,.867,0.7,3.0,3.7,6.2,1.1,0.0,2.5,1.9,22.5,119,110,"DPOY-6,AS"
41,40,John Stockton,34,UTA,PG,82,82,2896,7.7,14.0,.548,1.4,3.3,.422,6.3,10.7,.587,.598,5.1,6.0,.846,0.8,3.4,4.2,15.8,3.1,0.3,4.6,3.6,21.8,125,105,"MVP-15,AS,NBA3,DEF2"
42,41,Olden Polynice,32,SAC,C,82,82,2893,8.1,17.6,.457,0.0,0.1,.000,8.1,17.5,.460,.457,2.6,4.6,.562,5.0,9.1,14.1,3.2,0.8,1.5,3.0,5.4,18.7,100,108,
43,42,Patrick Ewing,34,NYK,C,78,78,2887,12.0,24.6,.488,0.0,0.2,.222,12.0,24.5,.490,.489,8.1,10.7,.754,3.2,12.1,15.3,2.9,1.3,3.5,4.9,4.6,32.2,104,96,"MVP-8,AS,NBA2"
44,43,Charles Oakley,33,NYK,PF,80,80,2873,6.3,12.8,.488,0.1,0.4,.263,6.2,12.5,.495,.492,3.3,4.1,.808,4.5,9.9,14.4,4.1,2.0,0.4,3.2,5.6,15.9,109,99,
