,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Anthony Mason,29,NYK,SF,82,82,3457,6.9,12.2,.563,0.0,0.0,,6.9,12.2,.563,.563,4.5,6.3,.720,3.4,8.3,11.7,5.5,1.1,0.5,3.2,3.8,18.2,117,104,
1,2,Vin Baker,24,MIL,PF,82,82,3319,11.2,22.9,.489,0.2,0.8,.208,11.0,22.1,.499,.493,5.1,7.7,.670,4.2,8.7,12.9,3.4,1.1,1.5,3.5,4.4,27.7,106,110,AS
2,3,Juwan Howard,22,WSB,PF,81,81,3294,11.4,23.3,.489,0.1,0.2,.308,11.3,23.1,.490,.490,5.0,6.6,.749,2.9,7.3,10.3,5.6,1.0,0.6,4.7,4.2,27.8,104,108,"AS,NBA3"
3,4,Larry Johnson,26,CHH,PF,81,81,3274,9.3,19.6,.476,1.1,2.9,.366,8.3,16.7,.495,.503,6.8,9.0,.757,4.0,6.9,10.9,5.7,0.9,0.7,2.9,2.8,26.6,118,113,
4,5,Grant Hill,23,DET,SF,80,80,3260,9.5,20.5,.462,0.1,0.4,.192,9.4,20.1,.468,.464,8.1,10.8,.751,2.1,11.0,13.1,9.2,1.7,0.8,4.4,4.1,27.2,110,102,"MVP-9,AS,NBA2"
5,6,Glenn Robinson,23,MIL,SF,82,82,3249,10.3,22.6,.454,1.5,4.3,.342,8.8,18.3,.480,.486,5.2,6.4,.812,2.2,6.0,8.3,4.8,1.6,0.7,4.6,3.9,27.2,103,112,
6,7,Michael Finley,22,PHO,SF,82,72,3212,7.5,15.6,.476,1.0,3.0,.328,6.5,12.7,.511,.508,3.9,5.2,.749,2.2,3.8,6.0,4.6,1.4,0.5,2.1,3.2,19.8,114,113,ROY-4
7,8,Gary Payton,27,SEA,PG,81,81,3162,10.0,20.6,.484,1.6,4.8,.328,8.4,15.8,.532,.523,3.7,4.9,.748,1.7,3.8,5.5,9.8,3.7,0.3,4.2,3.6,25.3,112,102,"MVP-6,DPOY-1,AS,NBA2,DEF1"
8,9,Glen Rice,28,CHH,SF,79,79,3142,10.2,21.6,.471,2.9,6.7,.424,7.3,14.9,.492,.537,5.3,6.4,.837,1.4,4.9,6.3,3.9,1.5,0.3,2.7,3.6,28.5,116,113,AS
9,10,Karl Malone,32,UTA,PF,82,82,3113,13.5,26.0,.519,0.3,0.7,.400,13.2,25.4,.522,.524,8.8,12.1,.723,3.0,10.8,13.8,5.9,2.4,1.0,3.4,4.2,36.1,117,102,"MVP-7,AS,NBA1"
10,11,Clarence Weatherspoon,25,PHI,SF,78,75,3096,8.3,17.1,.484,0.0,0.0,.000,8.3,17.0,.485,.484,5.3,7.2,.746,4.0,8.7,12.7,2.7,1.9,1.8,3.0,3.6,21.9,108,110,
11,12,Michael Jordan,32,CHI,SG,82,82,3090,15.6,31.5,.495,1.9,4.4,.427,13.7,27.1,.506,.525,9.3,11.2,.834,2.5,6.7,9.3,6.0,3.1,0.7,3.4,3.3,42.5,124,100,"MVP-1,DPOY-6,AS,NBA1,DEF1"
12,13,Avery Johnson,30,SAS,PG,82,82,3084,7.3,14.8,.494,0.1,0.5,.194,7.2,14.3,.505,.497,3.2,4.4,.721,0.6,2.8,3.4,13.2,2.0,0.4,3.3,3.0,17.9,114,107,
13,14,Allan Houston,24,DET,SG,82,75,3072,10.0,22.2,.453,3.4,8.0,.427,6.6,14.2,.468,.530,5.3,6.4,.823,1.0,4.4,5.3,4.5,1.1,0.3,4.2,4.2,28.8,108,108,
14,15,Latrell Sprewell,25,GSW,SG,78,78,3064,8.6,20.2,.428,1.5,4.7,.323,7.1,15.4,.461,.466,5.9,7.5,.789,2.1,4.3,6.4,5.5,2.1,0.8,3.7,2.5,24.7,108,111,DPOY-8
15,16,Chris Mills,26,CLE,SF,80,80,3060,8.7,18.5,.468,1.5,4.0,.376,7.1,14.5,.493,.508,4.2,5.0,.829,2.1,6.3,8.4,3.6,1.4,1.0,2.3,4.6,23.0,112,108,
16,17,Dennis Scott,27,ORL,SF,82,82,3041,8.4,19.2,.440,4.6,10.8,.425,3.9,8.4,.458,.559,3.1,3.8,.820,1.1,4.2,5.3,4.2,1.5,0.5,2.1,2.9,24.6,118,110,
17,18,Jason Kidd,22,DAL,PG,81,81,3034,8.2,21.4,.381,2.2,6.6,.336,6.0,14.9,.401,.433,3.8,5.5,.692,3.4,5.8,9.2,13.0,2.9,0.4,5.4,2.6,22.3,103,109,AS
