,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Kevin Durant,21,OKC,SF,82,82,3239,12.6,26.6,.476,2.0,5.6,.365,10.6,21.0,.506,.514,12.0,13.4,.900,1.7,8.2,9.9,3.7,1.8,1.3,4.3,2.7,39.4,118,104,"MVP-2,AS,NBA1"
1,2,Andre Iguodala,26,PHI,SF,82,82,3193,8.1,18.4,.443,1.5,5.0,.310,6.6,13.4,.492,.485,5.2,7.1,.733,1.3,7.3,8.7,7.7,2.3,0.9,3.6,2.4,23.0,108,109,
2,3,Rudy Gay,23,MEM,SF,80,80,3175,9.7,20.8,.466,1.1,3.3,.327,8.6,17.5,.492,.491,4.9,6.5,.753,1.9,5.8,7.6,2.5,1.9,1.0,2.7,3.2,25.3,109,110,
3,4,Stephen Jackson,31,2TM,SG,81,81,3129,10.1,23.8,.423,2.2,6.6,.328,7.9,17.2,.460,.469,5.7,7.3,.779,1.3,5.4,6.7,5.0,2.2,0.7,4.4,3.3,28.0,100,104,MVP-12
4,4,Stephen Jackson,31,GSW,PF,9,9,300,8.9,21.2,.421,1.8,6.4,.275,7.2,14.8,.484,.462,4.1,5.9,.703,1.0,4.6,5.6,6.7,2.2,1.0,4.1,2.6,23.8,97,112,
5,4,Stephen Jackson,31,CHA,SG,72,72,2829,10.2,24.1,.423,2.2,6.6,.334,8.0,17.5,.457,.469,5.9,7.5,.786,1.4,5.5,6.9,4.8,2.2,0.7,4.4,3.4,28.5,100,103,
6,5,Gerald Wallace,27,CHA,SF,76,76,3119,7.8,16.1,.484,0.9,2.4,.371,6.9,13.7,.503,.511,7.2,9.3,.776,2.6,10.4,13.0,2.7,2.0,1.4,3.0,3.3,23.6,113,100,"DPOY-3,AS,DEF1"
7,6,O.J. Mayo,22,MEM,SG,82,82,3113,8.9,19.5,.458,2.2,5.9,.383,6.7,13.6,.490,.516,3.5,4.3,.809,1.0,4.1,5.1,4.0,1.6,0.3,2.9,2.9,23.6,110,112,
8,7,Zach Randolph,28,MEM,PF,81,81,3051,11.0,22.5,.488,0.3,0.9,.288,10.7,21.6,.496,.494,6.1,7.8,.778,5.5,10.4,16.0,2.5,1.3,0.6,2.9,3.8,28.3,115,109,AS
9,8,Jeff Green,23,OKC,PF,82,82,3043,8.2,18.1,.453,1.8,5.3,.333,6.5,12.8,.503,.502,2.8,3.8,.740,1.9,6.4,8.3,2.3,1.8,1.2,2.3,3.7,21.0,106,105,
10,9,Dirk Nowitzki,31,DAL,PF,81,80,3039,12.3,25.5,.481,0.9,2.1,.421,11.4,23.5,.487,.498,9.2,10.0,.915,1.4,9.2,10.6,3.7,1.2,1.3,2.5,3.6,34.6,116,105,"MVP-7,AS,NBA2"
11,10,Brook Lopez,21,NJN,C,82,82,3027,9.8,19.6,.499,0.0,0.0,.000,9.8,19.6,.500,.499,7.2,8.8,.817,4.7,7.6,12.3,3.2,1.0,2.4,3.5,4.4,26.8,112,110,
12,11,David Lee,26,NYK,C,81,81,3019,11.6,21.3,.545,0.0,0.1,.000,11.6,21.1,.549,.545,4.5,5.6,.812,3.9,12.2,16.1,5.0,1.4,0.7,3.2,4.3,27.7,116,108,"DPOY-17,AS"
13,12,LeBron James,25,CLE,SF,76,76,2966,13.6,27.1,.503,2.3,6.9,.333,11.3,20.2,.560,.545,10.5,13.7,.767,1.3,8.6,9.8,11.5,2.2,1.4,4.6,2.1,40.0,121,102,"MVP-1,DPOY-4,AS,NBA1,DEF1"
14,13,Rajon Rondo,23,BOS,PG,81,81,2963,8.1,16.0,.508,0.3,1.4,.213,7.8,14.6,.536,.517,3.1,5.0,.621,1.8,4.6,6.4,14.0,3.3,0.2,4.3,3.5,19.6,111,103,"DPOY-5,AS,DEF1"
15,14,David West,29,NOH,PF,81,81,2949,10.9,21.5,.505,0.1,0.5,.259,10.8,21.1,.510,.508,5.2,6.0,.865,2.9,7.7,10.6,4.2,1.3,1.1,3.0,4.1,27.1,111,110,
