,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Monta Ellis,25,GSW,SG,80,80,3227,11.4,25.3,.451,2.1,5.9,.361,9.2,19.3,.478,.493,5.3,6.8,.789,0.7,3.7,4.4,7.1,2.6,0.4,4.0,3.2,30.3,107,112,
1,2,LaMarcus Aldridge,25,POR,PF,81,81,3211,12.0,24.1,.500,0.1,0.4,.174,12.0,23.7,.505,.501,6.0,7.5,.791,4.7,7.3,12.1,2.9,1.4,1.6,2.6,3.7,30.1,114,107,NBA3
2,3,Luol Deng,25,CHI,SF,82,82,3208,8.8,19.1,.460,1.9,5.5,.345,6.9,13.6,.506,.510,4.2,5.6,.753,1.9,6.0,7.9,3.8,1.3,0.8,2.6,2.7,23.7,111,102,DPOY-10
3,4,Dorell Wright,25,GSW,SF,82,82,3147,7.8,18.4,.423,3.1,8.3,.376,4.7,10.1,.462,.508,2.9,3.7,.789,1.4,5.5,6.9,3.9,2.0,1.0,2.1,2.8,21.6,110,111,
4,5,Blake Griffin,21,LAC,PF,82,82,3112,11.6,22.9,.506,0.1,0.4,.292,11.4,22.5,.510,.508,7.4,11.5,.642,4.5,11.9,16.4,5.2,1.0,0.7,3.7,4.2,30.7,111,107,"MVP-10,ROY-1,AS"
5,6,LeBron James,26,MIA,SF,79,79,3063,13.1,25.6,.510,1.6,4.8,.330,11.5,20.8,.552,.541,8.7,11.4,.759,1.4,8.8,10.2,9.6,2.1,0.9,4.9,2.8,36.4,116,102,"MVP-3,DPOY-9,AS,NBA1,DEF1"
6,7,Kevin Durant,22,OKC,SF,78,78,3038,12.1,26.2,.462,2.5,7.1,.350,9.6,19.2,.504,.509,10.1,11.5,.880,1.0,8.1,9.1,3.6,1.5,1.3,3.7,2.7,36.8,115,107,"MVP-5,AS,NBA1"
7,8,Pau Gasol,30,LAL,C,82,82,3037,10.3,19.5,.529,0.0,0.1,.333,10.3,19.5,.530,.530,6.2,7.5,.823,4.7,9.9,14.6,4.8,0.8,2.3,2.5,3.5,26.8,123,103,"AS,NBA2"
8,9,Derrick Rose,22,CHI,PG,81,81,3026,12.5,28.0,.445,2.2,6.8,.332,10.2,21.3,.481,.485,8.4,9.7,.858,1.4,4.4,5.8,10.9,1.5,0.9,4.9,2.4,35.6,113,103,"MVP-1,AS,NBA1"
9,10,Al Jefferson,26,UTA,C,82,82,2940,11.7,23.7,.496,0.0,0.0,,11.7,23.7,.496,.496,3.9,5.2,.761,4.2,10.0,14.2,2.7,0.8,2.7,1.9,4.3,27.4,111,108,
