,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Chris Mullin,28,GSW,SF,81,81,3346,11.5,22.0,.524,0.9,2.4,.366,10.6,19.5,.544,.544,4.9,5.8,.833,1.8,4.5,6.2,4.0,2.4,0.9,2.8,2.4,28.8,118,110,"MVP-6,AS,NBA1"
1,2,Tim Hardaway,25,GSW,PG,81,81,3332,10.2,22.2,.461,1.8,5.2,.338,8.5,16.9,.499,.501,4.2,5.4,.766,1.1,3.2,4.3,11.2,2.3,0.2,3.7,2.9,26.4,114,112,"MVP-8,AS,NBA2"
2,3,Dennis Rodman,30,DET,PF,82,80,3301,5.4,10.1,.539,0.5,1.6,.317,4.9,8.5,.581,.564,1.3,2.2,.600,8.3,16.0,24.3,3.0,1.1,1.1,2.2,3.9,12.7,121,99,"MVP-10,DPOY-2,AS,NBA3,DEF1"
3,4,Joe Dumars,28,DET,SG,82,82,3192,9.6,21.5,.448,0.8,2.0,.408,8.8,19.6,.452,.466,6.8,7.8,.867,1.3,1.7,3.1,6.2,1.2,0.2,3.2,2.4,26.8,113,110,"DPOY-5,AS,DEF1"
4,5,Scottie Pippen,26,CHI,SF,82,82,3164,11.0,21.8,.506,0.3,1.3,.200,10.8,20.6,.525,.511,5.3,7.0,.760,3.0,7.2,10.1,9.2,2.5,1.5,4.1,3.9,27.6,114,102,"MVP-9,DPOY-3,AS,NBA2,DEF1"
5,6,Patrick Ewing,29,NYK,C,82,82,3150,13.0,25.0,.522,0.0,0.1,.167,13.0,24.9,.523,.522,6.2,8.4,.738,3.7,11.4,15.1,2.6,1.4,4.0,3.4,4.5,32.3,112,98,"MVP-5,AS,NBA2,DEF2"
6,7,Ron Harper,28,LAC,SG,82,82,3144,9.0,20.4,.440,1.0,3.3,.303,8.0,17.1,.467,.465,4.6,6.3,.736,1.9,5.2,7.1,6.6,2.4,1.1,4.0,3.1,23.6,102,105,
7,8,Sean Elliott,23,SAS,SF,82,82,3120,8.2,16.6,.494,0.4,1.3,.305,7.8,15.3,.510,.506,4.6,5.3,.861,2.3,4.7,7.0,3.4,1.3,0.5,2.4,2.4,21.4,115,108,
8,9,Reggie Miller,26,IND,SG,82,82,3120,8.7,17.4,.501,2.0,5.3,.378,6.7,12.1,.555,.559,6.9,8.0,.858,1.3,3.7,4.9,4.9,1.6,0.4,2.4,3.3,26.3,125,112,
9,10,Michael Jordan,28,CHI,SG,80,80,3102,15.5,29.8,.519,0.4,1.6,.270,15.0,28.2,.533,.526,8.0,9.7,.832,1.5,6.9,8.4,8.0,3.0,1.2,3.3,3.3,39.4,121,102,"MVP-1,DPOY-3,AS,NBA1,DEF1"
10,11,Mitch Richmond,26,SAC,SG,80,80,3095,10.7,22.8,.468,1.6,4.2,.384,9.1,18.6,.486,.503,5.1,6.3,.813,1.0,4.0,5.0,6.4,1.4,0.5,3.8,3.6,28.1,107,113,
11,12,Jeff Hornacek,28,PHO,SG,81,81,3078,10.0,19.5,.512,1.3,3.0,.439,8.7,16.5,.525,.546,4.4,4.9,.886,1.7,4.7,6.4,6.5,2.5,0.5,2.7,3.4,25.6,120,107,AS
12,13,Reggie Lewis,26,BOS,SG,82,82,3070,11.5,22.8,.503,0.1,0.3,.238,11.4,22.5,.507,.505,4.8,5.6,.851,1.9,4.5,6.4,3.0,2.0,1.7,2.2,4.2,27.8,113,107,AS
13,14,Sedale Threatt,30,LAL,PG,82,82,3070,8.6,17.6,.489,0.3,1.0,.323,8.3,16.6,.499,.499,3.4,4.1,.831,0.7,3.6,4.3,10.0,2.8,0.3,3.1,3.9,21.0,112,110,
14,15,Grant Long,25,MIA,PF,82,82,3063,7.1,14.3,.494,0.1,0.4,.273,7.0,13.9,.500,.498,5.2,6.5,.807,4.2,6.9,11.1,3.6,2.2,0.6,3.0,4.0,19.4,115,109,
15,16,Otis Thorpe,29,HOU,PF,82,82,3056,9.2,15.6,.592,0.0,0.1,.000,9.2,15.5,.596,.592,5.0,7.6,.657,4.7,9.5,14.2,4.1,0.9,0.6,3.9,5.1,23.5,115,108,AS
16,17,Karl Malone,28,UTA,PF,81,81,3054,13.1,25.0,.526,0.0,0.3,.176,13.1,24.7,.530,.527,11.1,14.2,.778,3.7,11.3,15.0,4.0,1.8,0.8,4.1,3.7,37.4,118,103,"MVP-4,DPOY-6,AS,NBA1"
17,18,Larry Johnson,22,CHH,PF,82,77,3047,9.5,19.5,.490,0.1,0.3,.227,9.5,19.2,.494,.492,5.3,6.3,.829,5.0,8.9,13.9,4.5,1.3,0.8,2.5,3.5,24.4,116,110,ROY-1
18,19,Dražen Petrović,27,NJN,SG,82,82,3027,10.8,21.3,.508,2.0,4.5,.444,8.8,16.8,.525,.555,3.8,4.6,.808,1.6,2.6,4.2,4.1,1.7,0.2,3.5,4.0,27.4,116,113,
19,20,Hersey Hawkins,25,PHI,SG,81,81,3013,8.9,19.2,.462,1.5,3.9,.397,7.3,15.3,.479,.503,6.8,7.8,.874,0.9,3.7,4.6,4.2,2.7,0.7,3.2,3.0,26.1,114,110,
20,21,Glen Rice,24,MIA,SF,79,79,3007,11.0,23.4,.469,2.5,6.5,.391,8.4,16.9,.499,.523,4.3,5.2,.836,1.4,5.1,6.4,3.0,1.5,0.6,2.4,2.8,28.8,115,112,
21,22,John Stockton,29,UTA,PG,82,82,3002,7.6,15.7,.482,1.4,3.4,.407,6.2,12.3,.503,.527,5.2,6.1,.842,1.1,3.4,4.5,18.9,4.1,0.4,4.8,3.9,21.7,120,104,"MVP-12,AS,NBA2,DEF2"
22,23,Kevin Willis,29,ATL,PF,81,80,2962,9.8,20.3,.483,0.1,0.6,.162,9.7,19.7,.493,.485,4.8,6.0,.804,6.9,13.9,20.8,2.9,1.2,0.9,3.3,3.7,24.5,111,105,"AS,NBA3"
23,24,Chuck Person,27,IND,SF,81,81,2923,10.2,21.3,.480,2.2,5.9,.373,8.0,15.4,.520,.531,2.2,3.3,.675,1.9,5.2,7.1,6.3,1.1,0.3,3.6,4.1,24.8,107,112,
24,25,Pooh Richardson,25,MIN,PG,82,82,2922,10.1,21.8,.466,0.9,2.7,.342,9.2,19.1,.483,.487,2.1,3.1,.691,1.6,3.6,5.2,11.8,2.1,0.4,3.5,2.6,23.3,107,114,
25,26,Jeff Malone,30,UTA,SG,81,81,2922,11.9,23.3,.511,0.0,0.2,.083,11.9,23.1,.515,.511,4.4,4.9,.898,0.8,3.2,4.0,3.1,1.0,0.1,2.4,2.2,28.2,111,111,
26,27,Isiah Thomas,30,DET,PG,78,78,2918,10.1,22.7,.446,0.4,1.5,.291,9.7,21.2,.458,.456,5.2,6.8,.772,1.2,3.2,4.4,10.1,2.1,0.3,4.5,3.5,26.0,105,107,AS
27,28,Kendall Gill,23,CHH,SG,79,79,2906,10.8,23.2,.467,0.1,0.4,.240,10.7,22.8,.471,.469,4.6,6.2,.745,2.7,3.9,6.5,5.3,2.5,0.7,2.9,3.9,26.4,106,111,
28,29,Danny Manning,25,LAC,PF,82,82,2904,11.1,20.5,.542,0.0,0.1,.000,11.1,20.4,.544,.542,4.8,6.6,.725,3.9,5.7,9.7,4.9,2.3,2.1,3.6,5.0,27.0,113,104,MVP-16
29,30,A.C. Green,28,LAL,PF,82,53,2902,6.8,14.4,.476,0.2,1.0,.214,6.6,13.4,.495,.483,6.1,8.2,.744,5.5,8.2,13.6,2.1,1.6,0.6,2.0,2.5,20.0,119,108,
30,31,Kevin Johnson,25,PHO,PG,78,78,2899,9.0,18.7,.479,0.2,0.8,.217,8.8,18.0,.490,.484,7.5,9.2,.807,1.0,3.8,4.9,13.9,1.9,0.4,4.5,3.0,25.6,115,108,"MVP-15,NBA3"
31,32,Lionel Simmons,23,SAC,SF,78,78,2895,8.8,19.3,.454,0.0,0.1,.200,8.8,19.3,.455,.454,4.7,6.1,.770,2.5,8.1,10.6,5.6,2.2,2.2,3.6,3.4,22.2,102,107,
