,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,LeBron James,20,CLE,SF,80,80,3388,12.6,26.6,.472,1.7,4.9,.351,10.8,21.7,.499,.504,7.5,10.0,.750,1.8,7.5,9.3,9.1,2.8,0.8,4.1,2.3,34.3,114,103,"MVP-6,AS,NBA2"
1,2,Stephon Marbury,27,NYK,PG,82,82,3281,9.7,21.1,.462,1.9,5.2,.354,7.9,15.9,.497,.506,7.4,8.9,.834,0.8,3.2,4.0,10.8,2.0,0.1,3.8,3.0,28.7,118,111,
2,3,Gilbert Arenas,23,WAS,PG,80,80,3274,10.3,23.9,.431,3.2,8.8,.365,7.1,15.1,.469,.498,8.2,10.1,.814,1.3,4.6,5.9,6.5,2.2,0.4,3.8,3.8,32.0,115,109,"MVP-12,AS,NBA3"
3,4,Joe Johnson,23,PHO,SF,82,82,3240,8.4,18.2,.461,2.7,5.7,.478,5.7,12.5,.454,.536,2.1,2.8,.750,1.9,4.7,6.5,4.5,1.2,0.4,2.3,2.6,21.6,113,110,
4,5,Tracy McGrady,25,HOU,SF,78,78,3182,12.2,28.2,.431,2.4,7.4,.326,9.7,20.8,.468,.473,7.3,9.5,.774,1.2,7.0,8.2,7.6,2.3,0.9,3.4,2.8,34.0,109,101,"MVP-7,AS,NBA3"
5,6,Allen Iverson,29,PHI,PG,75,75,3174,12.3,29.0,.424,1.7,5.4,.308,10.6,23.6,.451,.453,10.4,12.5,.835,0.8,3.9,4.8,9.5,2.9,0.1,5.5,2.2,36.7,105,105,"MVP-5,DPOY-11,AS,NBA1"
6,7,Shawn Marion,26,PHO,PF,81,81,3146,9.8,20.5,.476,1.8,5.4,.334,7.9,15.1,.526,.520,3.6,4.4,.833,3.7,10.8,14.6,2.4,2.6,1.9,2.0,3.2,25.0,116,101,"MVP-14,DPOY-5,AS,NBA3"
7,8,Kevin Garnett,28,MIN,PF,82,82,3121,11.8,23.5,.502,0.1,0.4,.240,11.7,23.0,.507,.504,7.7,9.5,.811,4.3,14.9,19.1,8.0,2.1,1.9,3.8,3.6,31.4,117,99,"MVP-11,DPOY-9,AS,NBA2,DEF1"
8,9,Mike Bibby,26,SAC,PG,80,80,3084,9.4,21.1,.443,2.2,6.1,.360,7.2,15.1,.477,.495,5.4,6.9,.775,1.3,4.3,5.6,9.0,2.1,0.5,3.4,3.2,26.3,112,110,
9,10,Ray Allen,29,SEA,SG,78,78,3064,11.4,26.6,.428,3.7,9.9,.376,7.7,16.7,.459,.498,6.7,7.6,.883,1.4,4.8,6.2,5.2,1.5,0.1,3.0,3.0,33.3,117,112,"MVP-9,AS,NBA2"
