,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Michael Finley,24,DAL,SF,82,82,3394,10.6,23.7,.449,1.4,3.8,.357,9.2,19.8,.466,.477,5.1,6.5,.784,2.4,4.5,6.9,6.4,2.1,0.5,3.4,2.6,27.7,107,109,MVP-18
1,2,Glen Rice,30,CHH,SF,82,82,3295,10.3,22.6,.457,2.1,4.9,.433,8.2,17.7,.464,.504,7.0,8.2,.849,1.5,4.3,5.8,3.0,1.3,0.4,3.0,3.3,29.8,112,109,"MVP-11,AS,NBA3"
2,3,Grant Hill,25,DET,SF,81,81,3294,10.2,22.5,.452,0.0,0.3,.143,10.1,22.1,.457,.453,7.9,10.7,.740,1.5,8.8,10.3,9.1,2.4,0.9,4.7,3.2,28.3,106,101,"MVP-9,AS,NBA2"
3,4,Ray Allen,22,MIL,SG,82,82,3287,9.1,21.3,.428,2.2,6.0,.364,6.9,15.3,.453,.479,5.5,6.3,.875,2.1,4.5,6.6,5.8,1.8,0.2,4.3,4.0,25.9,106,108,
4,5,Antoine Walker,21,BOS,PF,82,82,3268,11.4,26.8,.423,1.4,4.6,.312,9.9,22.2,.447,.450,4.8,7.4,.645,4.3,8.9,13.2,4.3,2.2,0.9,4.6,4.1,29.0,98,103,"MVP-12,AS"
5,6,Kevin Garnett,21,MIN,PF,82,82,3222,10.2,20.8,.491,0.0,0.3,.188,10.2,20.5,.495,.492,3.9,5.3,.738,3.6,9.1,12.6,5.6,2.2,2.4,3.1,3.6,24.4,109,103,"DPOY-11,AS"
6,7,Tim Duncan,21,SAS,PF,82,82,3204,12.0,21.8,.549,0.0,0.2,.000,12.0,21.6,.553,.549,5.4,8.2,.662,4.6,11.9,16.6,3.8,0.9,3.5,4.7,4.3,29.3,108,95,"MVP-5,ROY-1,DPOY-5,AS,NBA1,DEF2"
7,8,Wesley Person,26,CLE,SG,82,82,3198,7.3,16.0,.460,3.2,7.5,.430,4.1,8.5,.486,.560,2.2,2.8,.776,1.1,5.0,6.1,3.1,2.2,0.8,1.8,1.8,20.1,114,101,
8,9,Michael Jordan,34,CHI,SG,82,82,3181,14.9,32.1,.465,0.5,2.1,.238,14.4,30.0,.482,.473,9.6,12.2,.784,2.2,5.8,8.1,4.8,2.4,0.8,3.1,2.6,40.0,114,100,"MVP-1,DPOY-4,AS,NBA1,DEF1"
9,10,Allen Iverson,22,PHI,PG,80,80,3150,10.9,23.7,.461,1.2,4.0,.298,9.8,19.7,.494,.486,6.6,9.0,.729,1.4,3.5,5.0,8.3,3.0,0.4,4.1,3.4,29.6,109,106,
10,11,Anthony Mason,31,CHH,PF,81,80,3148,6.6,13.0,.509,0.0,0.1,.000,6.6,13.0,.512,.509,4.5,6.9,.649,3.0,11.1,14.1,5.8,1.2,0.3,2.5,3.1,17.7,114,104,DPOY-9
