,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
0,1,Larry Johnson,23,CHH,PF,82,82,3323,10.5,20.0,.526,0.3,1.0,.254,10.2,18.9,.540,.532,4.8,6.3,.767,4.0,8.4,12.5,5.1,0.8,0.4,3.3,2.7,26.1,115,110,"AS,NBA2"
1,2,Hakeem Olajuwon,30,HOU,C,82,82,3242,13.3,25.1,.529,0.0,0.1,.000,13.3,25.0,.532,.529,7.0,8.9,.779,4.4,12.3,16.7,4.6,2.4,5.4,4.1,4.8,33.6,114,96,"MVP-2,DPOY-1,AS,NBA1,DEF1"
2,3,David Robinson,27,SAS,C,82,82,3211,10.6,21.1,.501,0.0,0.3,.176,10.5,20.9,.506,.503,8.8,12.0,.732,3.6,11.4,15.0,4.7,2.0,4.1,3.8,3.7,30.0,113,100,"MVP-6,DPOY-2,AS,NBA3,DEF2"
3,4,Dan Majerle,27,PHO,SG,82,82,3199,7.7,16.5,.464,2.5,6.6,.381,5.1,9.9,.520,.541,3.1,3.9,.778,1.8,4.0,5.8,4.7,2.1,0.5,2.0,2.7,20.9,120,108,"DPOY-5,AS,DEF2"
4,5,Reggie Lewis,27,BOS,SG,80,80,3144,10.7,22.7,.470,0.2,1.0,.233,10.4,21.7,.481,.475,5.2,6.0,.867,1.4,4.2,5.6,4.8,1.9,1.2,2.1,4.0,26.8,112,109,
5,6,Scottie Pippen,27,CHI,SF,81,81,3123,10.4,22.1,.473,0.4,1.5,.237,10.1,20.5,.491,.482,3.9,5.8,.663,3.4,6.9,10.3,8.4,2.9,1.2,4.1,3.6,25.1,108,104,"AS,NBA3,DEF1"
6,7,Mark Jackson,27,LAC,PG,82,81,3117,7.1,14.7,.486,0.3,1.3,.268,6.8,13.4,.506,.497,3.7,4.7,.803,2.0,4.0,6.0,11.3,2.1,0.2,3.4,2.5,18.4,114,109,
7,8,Doug West,25,MIN,SG,80,80,3104,10.6,20.6,.517,0.0,0.4,.087,10.6,20.2,.525,.518,4.1,4.9,.841,1.5,2.6,4.1,3.9,1.4,0.3,2.7,4.6,25.4,109,115,
8,9,Karl Malone,29,UTA,PF,82,82,3099,12.8,23.2,.552,0.1,0.3,.200,12.7,22.8,.557,.554,9.9,13.4,.740,3.6,11.1,14.7,4.9,2.0,1.4,3.9,4.2,35.6,120,103,"MVP-8,AS,NBA1"
9,10,Detlef Schrempf,30,IND,PF,82,60,3098,8.3,17.5,.476,0.1,0.8,.154,8.2,16.7,.493,.480,8.5,10.5,.804,3.4,9.2,12.6,8.0,1.3,0.4,3.9,4.9,25.3,117,109,AS
10,11,Joe Dumars,29,DET,SG,77,77,3094,11.3,24.2,.466,1.9,5.0,.375,9.4,19.2,.489,.504,5.7,6.6,.864,1.0,1.4,2.5,5.1,1.3,0.1,2.3,2.3,30.1,118,113,"MVP-10,AS,NBA2,DEF1"
11,12,Scott Skiles,28,ORL,PG,78,78,3086,6.7,14.4,.467,1.3,3.8,.340,5.4,10.6,.512,.512,4.7,5.2,.892,0.8,3.8,4.7,11.9,1.4,0.0,4.3,3.9,19.4,115,110,
12,13,Glen Rice,25,MIA,SF,82,82,3082,9.6,21.8,.440,2.4,6.4,.383,7.1,15.4,.463,.495,4.0,4.9,.820,1.5,5.5,7.0,3.0,1.5,0.4,2.6,3.3,25.6,109,110,
13,14,Shaquille O'Neal,20,ORL,C,81,81,3071,11.9,21.2,.562,0.0,0.0,.000,11.9,21.1,.563,.562,6.9,11.7,.592,5.6,12.7,18.2,2.5,1.0,4.6,5.0,5.2,30.7,108,100,"MVP-7,ROY-1,AS"
14,15,Michael Jordan,29,CHI,SG,78,78,3067,16.8,33.9,.495,1.4,3.9,.352,15.4,30.0,.514,.515,8.1,9.6,.837,2.3,6.5,8.8,7.2,3.7,1.0,3.5,3.2,43.0,119,102,"MVP-3,DPOY-2,AS,NBA1,DEF1"
15,16,Dikembe Mutombo,26,DEN,C,82,82,3029,6.3,12.4,.510,0.0,0.0,,6.3,12.4,.510,.510,5.3,7.8,.681,5.5,11.5,17.0,2.3,0.7,4.6,3.4,4.5,18.0,110,102,
16,17,Patrick Ewing,30,NYK,C,81,81,3003,13.2,26.2,.503,0.0,0.1,.143,13.2,26.1,.504,.503,6.8,9.4,.719,3.2,13.3,16.6,2.6,1.3,2.7,4.5,4.8,33.1,105,94,"MVP-4,DPOY-5,AS,NBA2"
17,18,Chuck Person,28,MIN,SF,78,75,2985,9.3,21.4,.433,2.0,5.7,.355,7.2,15.7,.462,.481,1.9,2.9,.649,1.7,5.7,7.4,5.9,1.1,0.5,3.8,3.4,22.4,97,114,
18,19,Hersey Hawkins,26,PHI,SG,81,81,2977,9.0,19.2,.470,2.0,5.0,.397,7.0,14.2,.496,.522,6.9,8.0,.860,1.5,4.2,5.7,5.2,2.2,0.5,2.9,3.1,26.9,117,111,
19,20,Ron Harper,29,LAC,SG,80,77,2970,8.8,19.6,.451,0.8,3.0,.280,8.0,16.6,.482,.472,5.0,6.5,.769,1.9,5.0,6.9,5.9,2.9,1.2,3.6,3.5,23.5,105,106,
20,21,Reggie Miller,27,IND,SG,82,82,2954,9.7,20.2,.479,2.8,7.1,.399,6.8,13.1,.522,.549,7.2,8.2,.880,1.1,3.2,4.4,4.4,2.0,0.4,2.5,3.1,29.4,125,112,
21,22,Isiah Thomas,31,DET,PG,79,79,2922,9.3,22.2,.418,1.1,3.5,.308,8.2,18.7,.439,.442,4.9,6.6,.737,1.3,2.8,4.1,11.8,2.2,0.3,5.0,3.9,24.5,102,110,AS
22,23,Nick Anderson,25,ORL,SG,79,76,2920,10.1,22.6,.449,1.5,4.3,.353,8.6,18.4,.471,.482,5.1,6.9,.741,2.1,6.1,8.1,4.5,2.2,1.0,2.8,3.4,26.9,109,106,
23,24,Sedale Threatt,31,LAL,PG,82,82,2893,9.0,17.7,.508,0.2,0.9,.264,8.8,16.8,.521,.515,3.1,3.7,.823,0.8,3.9,4.7,9.7,2.4,0.2,3.0,4.3,21.3,113,110,
24,25,Terry Porter,29,POR,PG,81,81,2883,8.5,18.6,.454,2.4,5.8,.414,6.1,12.8,.472,.519,5.5,6.5,.843,1.0,4.3,5.3,7.0,1.7,0.2,3.3,2.1,24.8,115,108,AS
25,26,Kevin Willis,30,ATL,PF,80,80,2878,10.5,20.8,.506,0.1,0.5,.241,10.4,20.3,.512,.509,3.4,5.1,.653,5.7,11.8,17.6,2.8,1.2,0.7,3.6,4.5,24.5,107,108,
26,27,John Stockton,30,UTA,PG,82,82,2863,7.6,15.6,.486,1.3,3.2,.385,6.3,12.4,.513,.526,5.1,6.4,.798,1.1,3.0,4.1,17.1,3.5,0.4,4.6,3.9,21.5,118,107,"MVP-10,AS,NBA2"
27,28,Jeff Hornacek,29,PHI,PG,79,78,2860,9.9,21.1,.470,1.7,4.2,.390,8.3,16.9,.490,.509,4.3,4.9,.865,1.4,4.4,5.8,9.3,2.2,0.4,3.8,3.5,25.8,110,111,
28,29,Charles Barkley,29,PHO,PF,76,76,2859,12.0,23.1,.520,1.1,3.7,.305,10.9,19.4,.561,.545,7.5,9.8,.765,4.0,11.6,15.6,6.5,2.0,1.2,3.9,3.3,32.7,120,103,"MVP-1,AS,NBA1"
29,30,Muggsy Bogues,28,CHH,PG,81,80,2833,5.6,12.3,.453,0.1,0.4,.231,5.5,11.9,.462,.458,2.4,2.8,.833,0.9,4.2,5.0,12.0,2.7,0.1,2.6,3.0,13.7,113,110,
30,31,Christian Laettner,23,MIN,PF,81,81,2823,9.1,19.2,.474,0.1,0.7,.100,9.0,18.5,.489,.476,8.4,10.0,.835,3.1,9.7,12.8,4.0,1.9,1.5,5.0,5.3,26.7,105,108,
31,32,Mookie Blaylock,25,ATL,PG,80,78,2820,7.2,16.8,.429,2.1,5.5,.375,5.2,11.3,.456,.491,2.1,2.9,.728,1.6,3.3,4.9,11.7,3.5,0.4,3.3,2.7,18.6,113,109,
